id,symbol,security,report_url,report_year,minio_path
27,ABBV        ,AbbVie Inc.,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABBV_2020.pdf,2020.0,AbbVie Inc./AbbVie Inc._2020.pdf
28,ABBV        ,AbbVie Inc.,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABBV_2019.pdf,2019.0,AbbVie Inc./AbbVie Inc._2019.pdf
29,ABBV        ,AbbVie Inc.,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ABBV_2021.pdf,2021.0,AbbVie Inc./AbbVie Inc._2021.pdf
30,ABMD        ,ABIOMED Inc,https://www.generationim.com/media/poqio042/gim-stewardship-report-2022-final.pdf,2022.0,ABIOMED Inc/ABIOMED Inc_2022.pdf
31,ABMD        ,ABIOMED Inc,https://www.anderson.ucla.edu/sites/default/files/document/2024-04/2024IMPACT%20State%20of%20Corp%20Sust%20report%20V15.pdf,2024.0,ABIOMED Inc/ABIOMED Inc_2024.pdf
32,ABMD        ,ABIOMED Inc,https://media.bailliegifford.com/mws/pghhmmg1/20230223155116_baillie-gifford-sustainable-growth-sustainability-report-2022-august-2022.pdf,2022.0,ABIOMED Inc/ABIOMED Inc_2022.pdf
33,ABMD        ,ABIOMED Inc,https://www.wellington.com/content/dam/wellington/pdf/en/2021-sustainability-report.pdf,2021.0,ABIOMED Inc/ABIOMED Inc_2021.pdf
34,ABMD        ,ABIOMED Inc,https://s203.q4cdn.com/636242992/files/doc_financials/2023/q4/form-10-k-2023-final.pdf,2429.0,ABIOMED Inc/ABIOMED Inc_2429.pdf
35,ACN         ,Accenture plc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ACN_2018.pdf,2018.0,Accenture plc/Accenture plc_2018.pdf
36,ACN         ,Accenture plc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ACN_2016.pdf,2016.0,Accenture plc/Accenture plc_2016.pdf
37,ACN         ,Accenture plc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ACN_2017.pdf,2017.0,Accenture plc/Accenture plc_2017.pdf
38,ACN         ,Accenture plc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ACN_2019.pdf,2019.0,Accenture plc/Accenture plc_2019.pdf
39,ACN         ,Accenture plc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ACN_2011.pdf,2011.0,Accenture plc/Accenture plc_2011.pdf
40,ACN         ,Accenture plc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ACN_2014.pdf,2014.0,Accenture plc/Accenture plc_2014.pdf
41,ACN         ,Accenture plc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ACN_2013.pdf,2013.0,Accenture plc/Accenture plc_2013.pdf
42,ATVI        ,Activision Blizzard,https://illinoistreasurergovprod.blob.core.usgovcloudapi.net/twocms/media/doc/activision%20blizzard%20proposal_sustainability%20.pdf,,
43,ATVI        ,Activision Blizzard,https://www.osc.ny.gov/files/reports/special-topics/pdf/2023-corporate-governance-stewardship-report.pdf,2023.0,Activision Blizzard/Activision Blizzard_2023.pdf
44,ATVI        ,Activision Blizzard,https://www.taxwatchuk.org/wp-content/uploads/2019/08/190803_World_of_Taxcraft_FINAL.pdf,2019.0,Activision Blizzard/Activision Blizzard_2019.pdf
45,ATVI        ,Activision Blizzard,https://www.coca-colacompany.com/content/dam/company/us/en/reports/pdf/coca-cola-business-environmental-social-governance-report-2020.pdf,2020.0,Activision Blizzard/Activision Blizzard_2020.pdf
46,ATVI        ,Activision Blizzard,https://www.societegenerale.com/sites/default/files/11-march-2013-2013-registration-document.pdf,2013.0,Activision Blizzard/Activision Blizzard_2013.pdf
47,ATVI        ,Activision Blizzard,https://www.coca-colacompany.com/content/dam/journey/us/en/policies/pdf/safety-health/coca-cola-business-and-sustainability-report-2018.pdf,2018.0,Activision Blizzard/Activision Blizzard_2018.pdf
48,ATVI        ,Activision Blizzard,https://cdn.cdp.net/cdp-production/cms/reports/documents/000/002/891/original/CDP-US-Report-2017-v2.pdf,2017.0,Activision Blizzard/Activision Blizzard_2017.pdf
49,ATVI        ,Activision Blizzard,https://www.itu.int/en/ITU-D/Environment/PublishingImages/Pages/Greening-Digital-Companies-2023/Greening%20digital%20companies%202023%20report%20FINAL.pdf,2023.0,Activision Blizzard/Activision Blizzard_2023.pdf
50,ATVI        ,Activision Blizzard,https://www.osc.ny.gov/files/reports/special-topics/pdf/2022-corporate-governance-stewardship-report.pdf,2022.0,
51,ADBE        ,Adobe Systems Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2019.pdf,2019.0,Adobe Systems Inc/Adobe Systems Inc_2019.pdf
52,ADBE        ,Adobe Systems Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2018.pdf,2018.0,Adobe Systems Inc/Adobe Systems Inc_2018.pdf
53,ADBE        ,Adobe Systems Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2020.pdf,2020.0,Adobe Systems Inc/Adobe Systems Inc_2020.pdf
54,ADBE        ,Adobe Systems Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2014.pdf,2014.0,Adobe Systems Inc/Adobe Systems Inc_2014.pdf
55,ADBE        ,Adobe Systems Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2022.pdf,2022.0,Adobe Systems Inc/Adobe Systems Inc_2022.pdf
56,ADBE        ,Adobe Systems Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2013.pdf,2013.0,Adobe Systems Inc/Adobe Systems Inc_2013.pdf
57,ADBE        ,Adobe Systems Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2016.pdf,2016.0,Adobe Systems Inc/Adobe Systems Inc_2016.pdf
58,ADBE        ,Adobe Systems Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2021.pdf,2021.0,Adobe Systems Inc/Adobe Systems Inc_2021.pdf
59,ADBE        ,Adobe Systems Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2017.pdf,2017.0,Adobe Systems Inc/Adobe Systems Inc_2017.pdf
60,ADBE        ,Adobe Systems Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2015.pdf,2015.0,Adobe Systems Inc/Adobe Systems Inc_2015.pdf
61,AMD         ,Advanced Micro Devices Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2021.pdf,2021.0,Advanced Micro Devices Inc/Advanced Micro Devices Inc_2021.pdf
62,AMD         ,Advanced Micro Devices Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2012.pdf,2012.0,Advanced Micro Devices Inc/Advanced Micro Devices Inc_2012.pdf
63,AMD         ,Advanced Micro Devices Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2011.pdf,2011.0,Advanced Micro Devices Inc/Advanced Micro Devices Inc_2011.pdf
64,AMD         ,Advanced Micro Devices Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2017.pdf,2017.0,Advanced Micro Devices Inc/Advanced Micro Devices Inc_2017.pdf
65,AMD         ,Advanced Micro Devices Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2013.pdf,2013.0,Advanced Micro Devices Inc/Advanced Micro Devices Inc_2013.pdf
66,AMD         ,Advanced Micro Devices Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2019.pdf,2019.0,Advanced Micro Devices Inc/Advanced Micro Devices Inc_2019.pdf
67,AMD         ,Advanced Micro Devices Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2015.pdf,2015.0,Advanced Micro Devices Inc/Advanced Micro Devices Inc_2015.pdf
68,AMD         ,Advanced Micro Devices Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2022.pdf,2022.0,Advanced Micro Devices Inc/Advanced Micro Devices Inc_2022.pdf
69,AMD         ,Advanced Micro Devices Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2014.pdf,2014.0,Advanced Micro Devices Inc/Advanced Micro Devices Inc_2014.pdf
70,AMD         ,Advanced Micro Devices Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2020.pdf,2020.0,Advanced Micro Devices Inc/Advanced Micro Devices Inc_2020.pdf
71,AMD         ,Advanced Micro Devices Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2010.pdf,2010.0,Advanced Micro Devices Inc/Advanced Micro Devices Inc_2010.pdf
72,AAP         ,Advance Auto Parts,https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2023-24-Full-Report.pdf,2023.0,Advance Auto Parts/Advance Auto Parts_2023.pdf
73,AAP         ,Advance Auto Parts,https://www.sec.gov/divisions/corpfin/cf-noaction/14a-8/2019/asyousowdenhart040919-14a8.pdf,2019.0,
74,AAP         ,Advance Auto Parts,https://group.mercedes-benz.com/documents/sustainability/reports/daimler-sustainability-report-2014.pdf,2014.0,
75,AAP         ,Advance Auto Parts,https://www.bridgestone.com/responsibilities/library/pdf/sr2020.pdf,2020.0,Advance Auto Parts/Advance Auto Parts_2020.pdf
76,AAP         ,Advance Auto Parts,https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2022-23-Full-Report.pdf,2022.0,Advance Auto Parts/Advance Auto Parts_2022.pdf
77,AAP         ,Advance Auto Parts,https://www.stellantis.com/content/dam/stellantis-corporate/sustainability/csr-disclosure/fca/fca_2017_sustainability_report.pdf,2017.0,Advance Auto Parts/Advance Auto Parts_2017.pdf
78,AAP         ,Advance Auto Parts,https://group.dhl.com/content/dam/deutschepostdhl/en/media-center/responsibility/dpdhl-corporate-responsibility-report-2013-complete.pdf,2013.0,Advance Auto Parts/Advance Auto Parts_2013.pdf
79,AAP         ,Advance Auto Parts,https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2020-21-Full-Report.pdf,2020.0,Advance Auto Parts/Advance Auto Parts_2020.pdf
80,AES         ,AES Corp,https://www.aes.com/sites/aesvault.com/files/2024-10/2023-AES-Improving-Lives-Report.pdf,2024.0,AES Corp/AES Corp_2024.pdf
81,AES         ,AES Corp,https://www.aes.com/sites/aes.com/files/2023-09/2022_ESG_Indicators_Report_vfinal2.pdf,2023.0,AES Corp/AES Corp_2023.pdf
82,AES         ,AES Corp,https://www.aes.com/sites/default/files/2021-02/AES-2019-Sustainability-Report.pdf,2021.0,AES Corp/AES Corp_2021.pdf
83,AES         ,AES Corp,https://www.fsb.org/uploads/P050619.pdf,619.0,AES Corp/AES Corp_619.pdf
84,AMG         ,Affiliated Managers Group Inc,https://corporate.lowes.com/sites/lowes-corp/files/2023-04/Lowes_2021_CSR_06.03.22_Final.pdf,2021.0,
85,AMG         ,Affiliated Managers Group Inc,https://www.apple.com/environment/pdf/Apple_Environmental_Responsibility_Report_2017.pdf,2017.0,Affiliated Managers Group Inc/Affiliated Managers Group Inc_2017.pdf
86,AMG         ,Affiliated Managers Group Inc,https://corporate.visa.com/content/dam/VCOM/regional/na/us/about-visa/documents/2023-corporate-responsibility-sustainability-report.pdf,2023.0,Affiliated Managers Group Inc/Affiliated Managers Group Inc_2023.pdf
87,AMG         ,Affiliated Managers Group Inc,https://www.merckgroup.com/company/sustainability/en/CR-Report-2014-EN.pdf,2014.0,
88,AMG         ,Affiliated Managers Group Inc,https://www.chevron.com/-/media/shared-media/documents/2015-corporate-responsibility-report.pdf,2015.0,Affiliated Managers Group Inc/Affiliated Managers Group Inc_2015.pdf
89,AMG         ,Affiliated Managers Group Inc,https://corporate.lowes.com/sites/lowes-corp/files/CSR-reports/Lowes_2020CSR__FINAL_ADA.pdf,2020.0,
90,AMG         ,Affiliated Managers Group Inc,https://csrreportbuilder.intel.com/PDFfiles/archived_reports/Intel-2016-CSR-Report.pdf,2016.0,Affiliated Managers Group Inc/Affiliated Managers Group Inc_2016.pdf
91,AMG         ,Affiliated Managers Group Inc,https://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2022-23-Full-Report.pdf,2022.0,Affiliated Managers Group Inc/Affiliated Managers Group Inc_2022.pdf
92,AMG         ,Affiliated Managers Group Inc,https://group.dhl.com/content/dam/deutschepostdhl/en/media-center/responsibility/dpdhl-corporate-responsibility-report-2013-complete.pdf,2013.0,Affiliated Managers Group Inc/Affiliated Managers Group Inc_2013.pdf
93,AMG         ,Affiliated Managers Group Inc,https://www.wecenergygroup.com/csr/cr2019/wec-corporate-responsibility-report-2019.pdf,2019.0,Affiliated Managers Group Inc/Affiliated Managers Group Inc_2019.pdf
94,AMG         ,Affiliated Managers Group Inc,https://csrreportbuilder.intel.com/PDFfiles/archived_reports/Intel-2018-CSR-Report.pdf,2018.0,Affiliated Managers Group Inc/Affiliated Managers Group Inc_2018.pdf
95,AFL         ,AFLAC Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2012.pdf,2012.0,AFLAC Inc/AFLAC Inc_2012.pdf
96,AFL         ,AFLAC Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2017.pdf,2017.0,AFLAC Inc/AFLAC Inc_2017.pdf
97,AFL         ,AFLAC Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2022.pdf,2022.0,AFLAC Inc/AFLAC Inc_2022.pdf
98,AFL         ,AFLAC Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2015.pdf,2015.0,AFLAC Inc/AFLAC Inc_2015.pdf
99,AFL         ,AFLAC Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2013.pdf,2013.0,AFLAC Inc/AFLAC Inc_2013.pdf
100,AFL         ,AFLAC Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2018.pdf,2018.0,AFLAC Inc/AFLAC Inc_2018.pdf
101,AFL         ,AFLAC Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2016.pdf,2016.0,AFLAC Inc/AFLAC Inc_2016.pdf
102,AFL         ,AFLAC Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2021.pdf,2021.0,AFLAC Inc/AFLAC Inc_2021.pdf
103,AFL         ,AFLAC Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2014.pdf,2014.0,AFLAC Inc/AFLAC Inc_2014.pdf
104,AFL         ,AFLAC Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2019.pdf,2019.0,AFLAC Inc/AFLAC Inc_2019.pdf
105,AFL         ,AFLAC Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AFL_2020.pdf,2020.0,AFLAC Inc/AFLAC Inc_2020.pdf
106,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2009.pdf,2009.0,Agilent Technologies Inc/Agilent Technologies Inc_2009.pdf
107,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2000.pdf,2000.0,Agilent Technologies Inc/Agilent Technologies Inc_2000.pdf
108,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2011.pdf,2011.0,Agilent Technologies Inc/Agilent Technologies Inc_2011.pdf
109,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2010.pdf,2010.0,Agilent Technologies Inc/Agilent Technologies Inc_2010.pdf
110,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2012.pdf,2012.0,Agilent Technologies Inc/Agilent Technologies Inc_2012.pdf
111,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2008.pdf,2008.0,Agilent Technologies Inc/Agilent Technologies Inc_2008.pdf
112,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2022.pdf,2022.0,Agilent Technologies Inc/Agilent Technologies Inc_2022.pdf
113,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2018.pdf,2018.0,Agilent Technologies Inc/Agilent Technologies Inc_2018.pdf
114,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2019.pdf,2019.0,Agilent Technologies Inc/Agilent Technologies Inc_2019.pdf
115,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2005.pdf,2005.0,Agilent Technologies Inc/Agilent Technologies Inc_2005.pdf
116,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2007.pdf,2007.0,Agilent Technologies Inc/Agilent Technologies Inc_2007.pdf
117,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2001.pdf,2001.0,Agilent Technologies Inc/Agilent Technologies Inc_2001.pdf
118,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2002.pdf,2002.0,Agilent Technologies Inc/Agilent Technologies Inc_2002.pdf
119,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2021.pdf,2021.0,Agilent Technologies Inc/Agilent Technologies Inc_2021.pdf
120,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2020.pdf,2020.0,Agilent Technologies Inc/Agilent Technologies Inc_2020.pdf
121,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2016.pdf,2016.0,Agilent Technologies Inc/Agilent Technologies Inc_2016.pdf
122,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2014.pdf,2014.0,Agilent Technologies Inc/Agilent Technologies Inc_2014.pdf
123,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2015.pdf,2015.0,Agilent Technologies Inc/Agilent Technologies Inc_2015.pdf
124,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2017.pdf,2017.0,Agilent Technologies Inc/Agilent Technologies Inc_2017.pdf
125,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2003.pdf,2003.0,Agilent Technologies Inc/Agilent Technologies Inc_2003.pdf
126,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2004.pdf,2004.0,Agilent Technologies Inc/Agilent Technologies Inc_2004.pdf
127,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2013.pdf,2013.0,Agilent Technologies Inc/Agilent Technologies Inc_2013.pdf
128,A           ,Agilent Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2006.pdf,2006.0,Agilent Technologies Inc/Agilent Technologies Inc_2006.pdf
129,APD         ,Air Products & Chemicals Inc,https://www.apple.com/environment/pdf/Apple_Environmental_Responsibility_Report_2017.pdf,2017.0,Air Products & Chemicals Inc/Air Products & Chemicals Inc_2017.pdf
130,APD         ,Air Products & Chemicals Inc,https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookAir_PER_Nov2020.pdf,2020.0,Air Products & Chemicals Inc/Air Products & Chemicals Inc_2020.pdf
131,APD         ,Air Products & Chemicals Inc,https://www.airproducts.com/-/media/files/en/900/900-24-001-us-sustainability-report-2024.pdf,2024.0,Air Products & Chemicals Inc/Air Products & Chemicals Inc_2024.pdf
132,APD         ,Air Products & Chemicals Inc,https://www.apple.com/environment/pdf/Apple_Environmental_Responsibility_Report_2019.pdf,2019.0,Air Products & Chemicals Inc/Air Products & Chemicals Inc_2019.pdf
133,APD         ,Air Products & Chemicals Inc,https://www.airproducts.com/-/media/files/en/900/900-23-001-us-sustainability-report-2023.pdf,2023.0,Air Products & Chemicals Inc/Air Products & Chemicals Inc_2023.pdf
134,APD         ,Air Products & Chemicals Inc,https://csrreportbuilder.intel.com/PDFfiles/archived_reports/Intel-2018-CSR-Report.pdf,2018.0,Air Products & Chemicals Inc/Air Products & Chemicals Inc_2018.pdf
135,AKAM        ,Akamai Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AKAM_2020.pdf,2020.0,Akamai Technologies Inc/Akamai Technologies Inc_2020.pdf
136,AKAM        ,Akamai Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AKAM_2019.pdf,2019.0,Akamai Technologies Inc/Akamai Technologies Inc_2019.pdf
137,AKAM        ,Akamai Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AKAM_2021.pdf,2021.0,Akamai Technologies Inc/Akamai Technologies Inc_2021.pdf
138,AKAM        ,Akamai Technologies Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AKAM_2022.pdf,2022.0,Akamai Technologies Inc/Akamai Technologies Inc_2022.pdf
139,ALK         ,Alaska Air Group Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ALK_2013.pdf,2013.0,Alaska Air Group Inc/Alaska Air Group Inc_2013.pdf
140,ALK         ,Alaska Air Group Inc,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ALK_2022.pdf,2022.0,Alaska Air Group Inc/Alaska Air Group Inc_2022.pdf
